剧本ID,剧本名称,剧目类别,角色总数,实际关系数,网络密度,度中心化,核心关系,核心主题
70901115,宝剑记·夜奔,历史戏,1,0,0,0,同盟关系,除暴侠义
70901117,清忠谱·五人义,历史戏,14,74,0.813187,0.128205,权力关系,除暴侠义
70901118,麒麟阁·三挡,历史戏,4,5,0.833333,0.333333,权力关系,战争武略
70901133,桃花扇·和战,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
70901144,兴唐传·御果园,历史戏,9,28,0.777778,0.285714,冲突关系,战争武略
70901145,列国传·棋盘会,历史戏,11,51,0.927273,0.088889,婚恋关系,战争武略
70901147,奏朝草诏,历史戏,5,8,0.8,0.333333,权力关系,政治权力
70902110,牡丹亭·惊梦,神怪戏,4,4,0.666667,0.666667,亲属关系,文人世情
70902112,牡丹亭·拾画,家庭戏,1,0,0,0,亲属关系,文人世情
70902113,牡丹亭·叫画,家庭戏,1,0,0,0,婚恋关系,文人世情
70902121,玉簪记·秋江,家庭戏,6,14,0.933333,0.1,亲属关系,家庭亲情
70902129,长生殿·惊变,历史戏,4,5,0.833333,0.333333,权力关系,政治权力
70902134,孽海记·思凡,家庭戏,1,0,0,0,冲突关系,宗教祥瑞
70902141,风云会·访普,历史戏,7,17,0.809524,0.266667,权力关系,政治权力
70902142,四声猿·骂曹,神怪戏,5,7,0.7,0.5,权力关系,礼教品格
70902159,金雀记·乔醋,家庭戏,4,5,0.833333,0.333333,权力关系,文人世情
70902162,疗妒羹·题曲,家庭戏,1,0,0,0,审判与恩怨关系,文人世情
70902170,白罗衫·游园,公案戏,4,4,0.666667,0.666667,审判与恩怨关系,公案冤狱
70902176,铁冠图·撞钟,历史戏,6,10,0.666667,0.5,权力关系,政治权力
70904208,西游记·胖姑学舌,家庭戏,1,0,0,0,亲属关系,宗教祥瑞
70904214,九莲灯·焚宫烧狱,神怪戏,1,0,0,0,权力关系,宗教祥瑞
80000001,四郎探母,家庭戏,10,23,0.511111,0.611111,亲属关系,家庭亲情
80000003,打龙袍,公案戏,6,13,0.866667,0.2,审判与恩怨关系,公案冤狱
80000005,火牛阵,历史戏,11,28,0.509091,0.477778,权力关系,战争武略
80000006,清官册,公案戏,5,7,0.7,0.5,审判与恩怨关系,公案冤狱
80000007,李陵碑,历史戏,4,3,0.5,0.333333,冲突关系,公案冤狱
80000008,哭灵牌,历史戏,1,0,0,0,冲突关系,恩怨报偿
80000011,白帝城,历史戏,7,20,0.952381,0.066667,冲突关系,战争武略
80000013,野猪林,江湖戏,9,26,0.722222,0.357143,审判与恩怨关系,除暴侠义
80000015,官渡之战,历史戏,11,29,0.527273,0.455556,冲突关系,战争武略
80000018,奇冤报,神怪戏,5,8,0.8,0.333333,审判与恩怨关系,公案冤狱
80000019,打严嵩,公案戏,4,5,0.833333,0.333333,权力关系,政治权力
80000020,长坂坡,历史戏,11,30,0.545455,0.433333,冲突关系,战争武略
80000021,文姬归汉,历史戏,8,15,0.535714,0.428571,权力关系,文人世情
80000022,辕门斩子,家庭戏,8,23,0.821429,0.238095,亲属关系,家庭亲情
80000023,桃花村,江湖戏,11,49,0.890909,0.133333,婚恋关系,婚恋姻缘
80000026,桃花扇,历史戏,13,67,0.858974,0.166667,权力关系,政治权力
80000027,三顾茅庐,历史戏,10,31,0.688889,0.388889,同盟关系,战争武略
80000028,四郎探母,家庭戏,11,29,0.527273,0.577778,亲属关系,家庭亲情
80000029,战樊城,历史戏,8,18,0.642857,0.285714,亲属关系,战争武略
80000036,借赵云,历史戏,5,8,0.8,0.333333,冲突关系,战争武略
80000038,樊江关,家庭戏,6,12,0.8,0.3,冲突关系,战争武略
90000001,红线盗盒,江湖戏,1,0,0,0,冲突关系,除暴侠义
90000007,花木兰,历史戏,17,40,0.294118,0.445833,同盟关系,忠义家国
90000008,双阳公主,历史戏,6,12,0.8,0.3,冲突关系,战争武略
90000009,罗成,历史戏,8,12,0.428571,0.761905,冲突关系,战争武略
90000021,困曹府,神怪戏,4,5,0.833333,0.333333,冲突关系,宗教祥瑞
94000001,别宫祭江,历史戏,2,3,3.0,0,婚恋关系,恩怨报偿
94000002,海瑞上疏,历史戏,27,161,0.458689,0.584615,权力关系,政治权力
94000004,柳荫记,家庭戏,10,29,0.644444,0.444444,婚恋关系,婚恋姻缘
