剧本编号,剧本名字,叙事模式ID,叙事模式名称,英文名称,场次数,五阶段强度曲线,五阶段主冲突,峰值阶段,峰值强度(%),强度振幅,场次波动次数,局部峰值数,判定依据,置信度,关键证据场次
03005001,合欢图,M07,平缓铺陈型,The Low-tension Episodic,42,45-58.4-58-57.2-53.4,开端:神怪显灵；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,58.38,13.38,25,9,五阶段振幅13.4点，阶段强度差异较小。,0.78,"开端:第一场(神怪显灵,45%)；发展:第三场(骨肉伦理,74%)；转折:第二十三场(骨肉伦理,58%)；高潮:第三十七场(骨肉伦理,75%)；结局:第四十场(骨肉伦理,73%)"
03006001,武昭关,M03,多峰波折型,The Rollercoaster,3,68-40-56-40-56,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,68.0,28.0,1,0,五阶段显著峰值3个、阶段方向切换3次，振幅28.0点。,0.86,"开端:第一场(敌我攻守,68%)；发展:第二场(敌我攻守,40%)；转折:第三场(敌我攻守,56%)；高潮:第二场(敌我攻守,40%)；结局:第三场(敌我攻守,56%)"
03006002,夺小沛,M07,平缓铺陈型,The Low-tension Episodic,4,49-58-61-61-66,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,66.0,17.0,0,0,五阶段振幅17.0点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,49%)；发展:第二场(敌我攻守,58%)；转折:第三场(敌我攻守,61%)；高潮:第三场(敌我攻守,61%)；结局:第四场(敌我攻守,66%)"
03006003,白门楼,M06,结尾爆发型,The Final Reveal,7,19-60.5-54-44-64,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:关系转折；结局:敌我攻守,结局,64.0,45.0,2,0,峰值出现在结局(64.0)，高于前四阶段平均19.6点。,0.83,"开端:第一场(敌我攻守,19%)；发展:第二场(敌我攻守,61%)；转折:第四场(敌我攻守,54%)；高潮:第六场(敌我攻守,48%)；结局:第七场(敌我攻守,64%)"
03006005,叔宝表功,M08,独场凝缩型,The Condensed One-scene,1,60-60-60-60-60,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,60.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,60%)；发展:独场(敌我攻守,60%)；转折:独场(敌我攻守,60%)；高潮:独场(敌我攻守,60%)；结局:独场(敌我攻守,60%)"
03006006,打登州,M05,开端爆发型,In Medias Res,11,71-42.2-63-57.3-59,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,71.0,28.75,5,1,峰值出现在开端(71.0)，高于后续平均15.6点。,0.82,"开端:第一场(敌我攻守,71%)；发展:第四场(骨肉伦理,63%)；转折:第六场(骨肉伦理,63%)；高潮:第八场(敌我攻守,68%)；结局:第十一场(骨肉伦理,61%)"
03006007,锤换带,M07,平缓铺陈型,The Low-tension Episodic,8,60-51.5-66-52.3-53,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:敌我攻守,转折,66.0,14.5,2,0,五阶段振幅14.5点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,60%)；发展:第三场(骨肉伦理,61%)；转折:第四场(敌我攻守,66%)；高潮:第七场(敌我攻守,54%)；结局:第八场(敌我攻守,53%)"
03007002,纪母骂刘邦,M03,多峰波折型,The Rollercoaster,3,34-74-60-74-60,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,74.0,40.0,1,1,五阶段显著峰值2个、阶段方向切换3次，振幅40.0点。,0.86,"开端:第一场(君臣撕裂,34%)；发展:第二场(骨肉伦理,74%)；转折:第三场(骨肉伦理,60%)；高潮:第二场(骨肉伦理,74%)；结局:第三场(骨肉伦理,60%)"
03007003,舌辩封侯,M03,多峰波折型,The Rollercoaster,3,42-54-75-54-75,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:敌我攻守,转折,75.0,33.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅33.0点。,0.86,"开端:第一场(敌我攻守,42%)；发展:第二场(骨肉伦理,54%)；转折:第二场(敌我攻守,75%)；高潮:第二场(骨肉伦理,54%)；结局:第二场(敌我攻守,75%)"
03007004,甘宁百骑劫魏营,M05,开端爆发型,In Medias Res,23,56-43.4-49-44.9-34.7,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,56.0,21.33,14,4,峰值出现在开端(56.0)，高于后续平均13.0点。,0.82,"开端:第一场(敌我攻守,56%)；发展:第六场(敌我攻守,55%)；转折:第十三场(敌我攻守,49%)；高潮:第十九场(敌我攻守,61%)；结局:第二十二场(敌我攻守,49%)"
03007005,十道本,M01,后置高潮型,The Classic Build-up,7,62-48.5-60-63.5-45,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:君臣撕裂；结局:君臣撕裂,高潮,63.5,18.5,4,1,峰值靠近高潮，按后置高潮结构归类。,0.72,"开端:第一场(骨肉伦理,62%)；发展:第三场(骨肉伦理,69%)；转折:第四场(骨肉伦理,60%)；高潮:第五场(君臣撕裂,65%)；结局:第七场(君臣撕裂,45%)"
03007006,选元戎,M03,多峰波折型,The Rollercoaster,7,69-58-67-37.5-65,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:敌我攻守,开端,69.0,31.5,3,0,五阶段显著峰值2个、阶段方向切换3次，振幅31.5点。,0.86,"开端:第一场(敌我攻守,69%)；发展:第三场(敌我攻守,62%)；转折:第四场(敌我攻守,67%)；高潮:第五场(骨肉伦理,40%)；结局:第七场(敌我攻守,65%)"
03008001,风雪夺昆仑,M04,单峰转折型,The Early Climax / Anti-climax,26,49-58.6-79-54.9-51.3,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,转折,79.0,30.0,13,4,峰值提前在转折(79.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,49%)；发展:第四场(敌我攻守,72%)；转折:第十四场(骨肉伦理,79%)；高潮:第十六场(骨肉伦理,76%)；结局:第二十四场(敌我攻守,61%)"
03008002,珍珠烈火旗,M06,结尾爆发型,The Final Reveal,34,42-43-27-41.5-51.5,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,51.5,24.5,18,6,峰值出现在结局(51.5)，高于前四阶段平均13.1点。,0.83,"开端:第一场(敌我攻守,42%)；发展:第十七场(敌我攻守,72%)；转折:第十九场(敌我攻守,27%)；高潮:第二十八场(敌我攻守,62%)；结局:第三十二场(敌我攻守,65%)"
03008003,反延安,M01,后置高潮型,The Classic Build-up,12,56-58.8-50-59-38,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,高潮,59.0,21.0,8,4,峰值靠近高潮，按后置高潮结构归类。,0.72,"开端:第一场(骨肉伦理,56%)；发展:第五场(敌我攻守,79%)；转折:第七场(敌我攻守,50%)；高潮:第八场(骨肉伦理,61%)；结局:第十二场(情爱婚恋,45%)"
03008004,通海沟,M04,单峰转折型,The Early Climax / Anti-climax,10,53-58.3-62-56.8-43,开端:忠义抉择；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,62.0,19.0,6,2,峰值提前在转折(62.0)，后续未形成更高增量。,0.84,"开端:第一场(忠义抉择,53%)；发展:第四场(敌我攻守,74%)；转折:第五场(敌我攻守,62%)；高潮:第七场(敌我攻守,69%)；结局:第十场(敌我攻守,43%)"
03009001,黄一刀,M05,开端爆发型,In Medias Res,11,74-37.5-37-43.3-43.5,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:余波收束,开端,74.0,37.0,5,1,峰值出现在开端(74.0)，高于后续平均33.7点。,0.82,"开端:第一场(骨肉伦理,74%)；发展:第四场(骨肉伦理,44%)；转折:第六场(骨肉伦理,37%)；高潮:第九场(骨肉伦理,71%)；结局:第十一场(骨肉伦理,61%)"
03009002,耒阳县,M01,后置高潮型,The Classic Build-up,6,38-52-66-67-49,开端:敌我攻守；发展:君臣撕裂；转折:公案审判；高潮:敌我攻守；结局:骨肉伦理,高潮,67.0,29.0,1,0,峰值位于高潮(67.0)，较开端提高29.0点。,0.86,"开端:第一场(敌我攻守,38%)；发展:第二场(君臣撕裂,52%)；转折:第三场(公案审判,66%)；高潮:第四场(敌我攻守,67%)；结局:第六场(骨肉伦理,49%)"
03009003,千秋岭,M02,渐强推进型,The Snowball / Crescendo,7,18-60-61-66-61,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,高潮,66.0,48.0,3,1,整体斜率为正(43.0)，阶段回落0次，峰值靠后。,0.86,"开端:第一场(敌我攻守,18%)；发展:第二场(敌我攻守,63%)；转折:第四场(敌我攻守,61%)；高潮:第五场(敌我攻守,66%)；结局:第八场(骨肉伦理,61%)"
03009004,取帅印,M03,多峰波折型,The Rollercoaster,8,78-58-43-81.7-27,开端:君臣撕裂；发展:骨肉伦理；转折:君臣撕裂；高潮:敌我攻守；结局:君臣撕裂,高潮,81.67,54.67,4,1,五阶段显著峰值2个、阶段方向切换2次，振幅54.7点。,0.86,"开端:第一场(君臣撕裂,78%)；发展:第三场(骨肉伦理,78%)；转折:第四场(君臣撕裂,43%)；高潮:第五场(敌我攻守,84%)；结局:第八场(君臣撕裂,27%)"
03011003,浣花溪,M02,渐强推进型,The Snowball / Crescendo,11,27-59.2-63-71.3-54.5,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:骨肉伦理；结局:骨肉伦理,高潮,71.33,44.33,6,2,整体斜率为正(27.5)，阶段回落1次，峰值靠后。,0.86,"开端:第一场(骨肉伦理,27%)；发展:第五场(骨肉伦理,79%)；转折:第六场(敌我攻守,63%)；高潮:第八场(骨肉伦理,73%)；结局:第十一场(骨肉伦理,65%)"
03012001,望儿楼,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,62%)；发展:第一场(骨肉伦理,62%)；转折:第一场(骨肉伦理,62%)；高潮:第一场(骨肉伦理,62%)；结局:第一场(骨肉伦理,62%)"
03012002,背楼,M03,多峰波折型,The Rollercoaster,3,62-18-85-18-85,开端:君臣撕裂；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,转折,85.0,67.0,1,0,五阶段显著峰值3个、阶段方向切换3次，振幅67.0点。,0.86,"开端:第一场(君臣撕裂,62%)；发展:第二场(敌我攻守,18%)；转折:第三场(骨肉伦理,85%)；高潮:第二场(敌我攻守,18%)；结局:第三场(骨肉伦理,85%)"
03012003,乾坤福寿镜,M06,结尾爆发型,The Final Reveal,37,46-47-40-51.1-58.2,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,58.25,18.25,25,6,峰值出现在结局(58.2)，高于前四阶段平均12.2点。,0.83,"开端:第一场(君臣撕裂,46%)；发展:第十四场(骨肉伦理,65%)；转折:第二十场(骨肉伦理,40%)；高潮:第二十一场(骨肉伦理,60%)；结局:第三十七场(骨肉伦理,71%)"
03013001,渭水河,M03,多峰波折型,The Rollercoaster,5,80-47-71-46-18,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:君臣撕裂,开端,80.0,62.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅62.0点。,0.86,"开端:第一场(君臣撕裂,80%)；发展:第二场(骨肉伦理,47%)；转折:第三场(骨肉伦理,71%)；高潮:第四场(骨肉伦理,46%)；结局:第五场(君臣撕裂,18%)"
03013002,查关,M04,单峰转折型,The Early Climax / Anti-climax,3,42-48-61-48-61,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,转折,61.0,19.0,0,0,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(敌我攻守,42%)；发展:第二场(敌我攻守,48%)；转折:第三场(骨肉伦理,61%)；高潮:第二场(敌我攻守,48%)；结局:第三场(骨肉伦理,61%)"
03013003,百寿图,M04,单峰转折型,The Early Climax / Anti-climax,4,37-60-75-75-61,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:君臣撕裂,转折,75.0,38.0,1,1,峰值提前在转折(75.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,37%)；发展:第二场(骨肉伦理,60%)；转折:第三场(骨肉伦理,75%)；高潮:第三场(骨肉伦理,75%)；结局:第四场(君臣撕裂,61%)"
03013005,反五侯,M04,单峰转折型,The Early Climax / Anti-climax,11,54-53.8-75-52-67.5,开端:君臣撕裂；发展:敌我攻守；转折:敌我攻守；高潮:骨肉伦理；结局:敌我攻守,转折,75.0,23.0,7,4,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(君臣撕裂,54%)；发展:第二场(敌我攻守,74%)；转折:第六场(敌我攻守,75%)；高潮:第九场(骨肉伦理,60%)；结局:第十场(敌我攻守,78%)"
03013006,五龙斗,M03,多峰波折型,The Rollercoaster,6,54-43-65-55.5-68,开端:敌我攻守；发展:君臣撕裂；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,68.0,25.0,3,0,五阶段显著峰值2个、阶段方向切换3次，振幅25.0点。,0.86,"开端:第一场(敌我攻守,54%)；发展:第二场(君臣撕裂,43%)；转折:第三场(敌我攻守,65%)；高潮:第四场(敌我攻守,64%)；结局:第六场(敌我攻守,68%)"
03013007,高平关,M05,开端爆发型,In Medias Res,3,78-53-48-53-48,开端:骨肉伦理；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,开端,78.0,30.0,0,0,峰值出现在开端(78.0)，高于后续平均27.5点。,0.82,"开端:第一场(骨肉伦理,78%)；发展:第二场(敌我攻守,53%)；转折:第三场(骨肉伦理,48%)；高潮:第二场(敌我攻守,53%)；结局:第三场(骨肉伦理,48%)"
03013008,打窦瑶,M02,渐强推进型,The Snowball / Crescendo,9,43-58-39-66.3-64,开端:骨肉伦理；发展:骨肉伦理；转折:君臣撕裂；高潮:骨肉伦理；结局:骨肉伦理,高潮,66.33,27.33,5,3,整体斜率为正(21.0)，阶段回落1次，峰值靠后。,0.86,"开端:第一场(骨肉伦理,43%)；发展:第四场(君臣撕裂,75%)；转折:第五场(君臣撕裂,39%)；高潮:第七场(骨肉伦理,90%)；结局:第九场(骨肉伦理,64%)"
03014001,芦花记,M08,独场凝缩型,The Condensed One-scene,1,53-53-53-53-53,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,53.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,53%)；发展:独场(骨肉伦理,53%)；转折:独场(骨肉伦理,53%)；高潮:独场(骨肉伦理,53%)；结局:独场(骨肉伦理,53%)"
03014002,芦花河,M07,平缓铺陈型,The Low-tension Episodic,24,63-49.3-60-53.1-60.7,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,63.0,13.73,14,6,五阶段振幅13.7点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,63%)；发展:第十二场(骨肉伦理,67%)；转折:第十三场(敌我攻守,60%)；高潮:第二十场(骨肉伦理,68%)；结局:第二十二场(敌我攻守,77%)"
03014003,得意缘,M03,多峰波折型,The Rollercoaster,17,78-53.1-22-72.5-55,开端:敌我攻守；发展:骨肉伦理；转折:情爱婚恋；高潮:骨肉伦理；结局:骨肉伦理,开端,78.0,56.0,6,2,五阶段显著峰值2个、阶段方向切换2次，振幅56.0点。,0.86,"开端:第一场(敌我攻守,78%)；发展:第七场(骨肉伦理,72%)；转折:第九场(情爱婚恋,22%)；高潮:第十场(骨肉伦理,79%)；结局:第十六场(骨肉伦理,60%)"
03016001,大回朝,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(骨肉伦理,58%)；发展:第二场(骨肉伦理,58%)；转折:第二场(骨肉伦理,58%)；高潮:第二场(骨肉伦理,58%)；结局:第二场(骨肉伦理,58%)"
03016002,双带箭,M04,单峰转折型,The Early Climax / Anti-climax,13,36-49.2-68-59.2-52,开端:敌我攻守；发展:君臣撕裂；转折:敌我攻守；高潮:敌我攻守；结局:忠义抉择,转折,68.0,32.0,8,3,峰值提前在转折(68.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,36%)；发展:第二场(君臣撕裂,68%)；转折:第七场(敌我攻守,68%)；高潮:第八场(敌我攻守,79%)；结局:第十三场(敌我攻守,66%)"
03016003,下河东,M05,开端爆发型,In Medias Res,15,59-42.8-27-49.4-53,开端:君臣撕裂；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,开端,59.0,32.0,7,3,峰值出现在开端(59.0)，高于后续平均15.9点。,0.82,"开端:第一场(君臣撕裂,59%)；发展:第七场(敌我攻守,60%)；转折:第八场(骨肉伦理,27%)；高潮:第十场(敌我攻守,74%)；结局:第十五场(君臣撕裂,69%)"
03016004,白龙关,M06,结尾爆发型,The Final Reveal,17,42-53.7-55-42.8-60.5,开端:敌我攻守；发展:敌我攻守；转折:君臣撕裂；高潮:敌我攻守；结局:敌我攻守,结局,60.5,18.5,10,4,峰值出现在结局(60.5)，高于前四阶段平均12.1点。,0.83,"开端:第一场(敌我攻守,42%)；发展:第五场(敌我攻守,64%)；转折:第九场(君臣撕裂,55%)；高潮:第十场(敌我攻守,56%)；结局:第十七场(敌我攻守,68%)"
03016005,赛太岁,M06,结尾爆发型,The Final Reveal,8,55-49-47-57.7-66,开端:骨肉伦理；发展:公案审判；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,结局,66.0,19.0,5,1,峰值出现在结局(66.0)，高于前四阶段平均13.8点。,0.83,"开端:第一场(骨肉伦理,55%)；发展:第三场(敌我攻守,68%)；转折:第四场(骨肉伦理,47%)；高潮:第六场(骨肉伦理,64%)；结局:第八场(骨肉伦理,66%)"
03017001,反西凉,M04,单峰转折型,The Early Climax / Anti-climax,17,14-51.4-77-56.2-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,转折,77.0,63.0,8,3,峰值提前在转折(77.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,14%)；发展:第八场(骨肉伦理,75%)；转折:第九场(骨肉伦理,77%)；高潮:第十三场(敌我攻守,78%)；结局:第十六场(敌我攻守,50%)"
03017002,战渭南,M04,单峰转折型,The Early Climax / Anti-climax,7,66-48-74-68-54,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,74.0,26.0,4,1,峰值提前在转折(74.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,66%)；发展:第三场(敌我攻守,78%)；转折:第四场(敌我攻守,74%)；高潮:第六场(敌我攻守,75%)；结局:第七场(敌我攻守,54%)"
03017003,战冀州,M07,平缓铺陈型,The Low-tension Episodic,13,66-56.2-68-67.2-71,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,71.0,14.8,6,2,五阶段振幅14.8点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,66%)；发展:第四场(敌我攻守,76%)；转折:第七场(敌我攻守,68%)；高潮:第八场(敌我攻守,85%)；结局:第十二场(敌我攻守,87%)"
03017004,赚历城,M05,开端爆发型,In Medias Res,14,60-52-42-48.8-49,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,开端,60.0,18.0,10,5,峰值出现在开端(60.0)，高于后续平均12.1点。,0.82,"开端:第一场(敌我攻守,60%)；发展:第六场(敌我攻守,71%)；转折:第八场(骨肉伦理,42%)；高潮:第十一场(敌我攻守,79%)；结局:第十三场(敌我攻守,67%)"
03017005,葭萌关,M01,后置高潮型,The Classic Build-up,10,62-54.3-28-68.8-61,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,高潮,68.75,40.75,2,0,峰值靠近高潮，按后置高潮结构归类。,0.72,"开端:第一场(敌我攻守,62%)；发展:第二场(敌我攻守,65%)；转折:第五场(骨肉伦理,28%)；高潮:第八场(敌我攻守,75%)；结局:第十场(敌我攻守,61%)"
03018001,登台笑客,M07,平缓铺陈型,The Low-tension Episodic,19,41-43.8-50-58.7-58.5,开端:君臣撕裂；发展:骨肉伦理；转折:君臣撕裂；高潮:骨肉伦理；结局:君臣撕裂,高潮,58.71,17.71,7,2,五阶段振幅17.7点，阶段强度差异较小。,0.78,"开端:第一场(君臣撕裂,41%)；发展:第九场(骨肉伦理,56%)；转折:第十场(君臣撕裂,50%)；高潮:第十六场(骨肉伦理,68%)；结局:第十九场(骨肉伦理,63%)"
03018002,海潮珠,M07,平缓铺陈型,The Low-tension Episodic,24,44-46.4-48-47.1-60.7,开端:君臣撕裂；发展:君臣撕裂；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,结局,60.67,16.67,13,3,五阶段振幅16.7点，阶段强度差异较小。,0.78,"开端:第一场(君臣撕裂,44%)；发展:第四场(君臣撕裂,64%)；转折:第十三场(骨肉伦理,48%)；高潮:第十九场(骨肉伦理,63%)；结局:第二十二场(敌我攻守,63%)"
03019001,打瓜园,M04,单峰转折型,The Early Climax / Anti-climax,6,13-49-73-54-63,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,73.0,60.0,3,2,峰值提前在转折(73.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,13%)；发展:第二场(骨肉伦理,49%)；转折:第三场(骨肉伦理,73%)；高潮:第五场(骨肉伦理,75%)；结局:第六场(骨肉伦理,63%)"
03019002,扈家庄,M05,开端爆发型,In Medias Res,11,72-39-55-56.3-43.5,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,开端,72.0,33.0,7,3,峰值出现在开端(72.0)，高于后续平均23.5点。,0.82,"开端:第一场(敌我攻守,72%)；发展:第四场(骨肉伦理,59%)；转折:第六场(骨肉伦理,55%)；高潮:第七场(骨肉伦理,84%)；结局:第十一场(骨肉伦理,49%)"
03019003,金猛关,M03,多峰波折型,The Rollercoaster,21,72-56.6-19-52.9-71.3,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,72.0,53.0,11,4,五阶段显著峰值2个、阶段方向切换1次，振幅53.0点。,0.86,"开端:第一场(敌我攻守,72%)；发展:第八场(敌我攻守,80%)；转折:第十一场(敌我攻守,19%)；高潮:第十八场(敌我攻守,67%)；结局:第二十一场(敌我攻守,79%)"
03019004,取金陵,M04,单峰转折型,The Early Climax / Anti-climax,17,57-62.7-53-52.3-38,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,发展,62.71,24.71,10,3,峰值提前在发展(62.7)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,57%)；发展:第六场(君臣撕裂,75%)；转折:第九场(敌我攻守,53%)；高潮:第十二场(敌我攻守,75%)；结局:第十六场(敌我攻守,45%)"
03019005,夺太仓,M07,平缓铺陈型,The Low-tension Episodic,17,49-48.6-60-44.2-49.5,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,60.0,15.83,9,1,五阶段振幅15.8点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,49%)；发展:第七场(敌我攻守,59%)；转折:第十场(敌我攻守,60%)；高潮:第十一场(敌我攻守,57%)；结局:第十八场(敌我攻守,61%)"
03020001,孟母三迁,M04,单峰转折型,The Early Climax / Anti-climax,3,61-70-30-70-30,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,发展,70.0,40.0,1,1,峰值提前在发展(70.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,61%)；发展:第二场(骨肉伦理,70%)；转折:第三场(骨肉伦理,30%)；高潮:第二场(骨肉伦理,70%)；结局:第三场(骨肉伦理,30%)"
03020002,游湖阴配,M01,后置高潮型,The Classic Build-up,19,40-49-26-55.1-46.5,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:忠义抉择,高潮,55.14,29.14,10,3,峰值位于高潮(55.1)，较开端提高15.1点。,0.86,"开端:第一场(骨肉伦理,40%)；发展:第七场(骨肉伦理,66%)；转折:第十场(骨肉伦理,26%)；高潮:第十五场(敌我攻守,69%)；结局:第十八场(忠义抉择,56%)"
03021001,花园赠金,M08,独场凝缩型,The Condensed One-scene,1,39-39-39-39-39,开端:情爱婚恋；发展:情爱婚恋；转折:情爱婚恋；高潮:情爱婚恋；结局:情爱婚恋,开端,39.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(情爱婚恋,39%)；发展:独场(情爱婚恋,39%)；转折:独场(情爱婚恋,39%)；高潮:独场(情爱婚恋,39%)；结局:独场(情爱婚恋,39%)"
03021002,彩楼配,M08,独场凝缩型,The Condensed One-scene,2,40-40-40-40-40,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,40.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(骨肉伦理,42%)；发展:第二场(骨肉伦理,42%)；转折:第二场(骨肉伦理,42%)；高潮:第二场(骨肉伦理,42%)；结局:第二场(骨肉伦理,42%)"
03021003,三击掌,M08,独场凝缩型,The Condensed One-scene,1,51-51-51-51-51,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,51.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,51%)；发展:独场(骨肉伦理,51%)；转折:独场(骨肉伦理,51%)；高潮:独场(骨肉伦理,51%)；结局:独场(骨肉伦理,51%)"
03021004,投军降马,M03,多峰波折型,The Rollercoaster,4,37-90-36-36-46,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,发展,90.0,54.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅54.0点。,0.86,"开端:第一场(骨肉伦理,37%)；发展:第二场(骨肉伦理,90%)；转折:第三场(敌我攻守,36%)；高潮:第三场(敌我攻守,36%)；结局:第四场(敌我攻守,46%)"
